ip.src,ip.dst,ip.proto,eth.src,eth.dst,ipv6.src,ipv6.dst,ip.ttl,ip.id,ip.hdr_len,ip.len,ip.flags.df,tcp.stream,tcp.time_delta,tcp.time_relative,tcp.analysis.initial_rtt,tcp.flags,tcp.window_size_value,tcp.hdr_len,tcp.len,tcp.srcport,tcp.dstport,udp.srcport,udp.dstport,udp.stream,udp.length,icmp.length,http.request.method,http.response.code,http.content_length,ip.ttl
192.168.18.15,192.168.18.57,6,78:c1:ae:5a:ef:b1,54:e1:ad:70:ca:d2,,,,0xd989,20,1192,0,0,0.000000000,0.160394000,,0x0018,14392,20,1152,9020,51621,,,,,,,,,255
192.168.18.57,192.168.18.15,6,54:e1:ad:70:ca:d2,78:c1:ae:5a:ef:b1,,,,0xe890,20,40,1,0,0.000068000,0.160462000,,0x0010,65535,20,0,51621,9020,,,,,,,,,128
192.168.18.57,192.168.18.15,6,54:e1:ad:70:ca:d2,78:c1:ae:5a:ef:b1,,,,0xe890,20,40,1,0,0.000000000,0.160462000,,0x0010,65535,20,0,51621,9020,,,,,,,,,128
192.168.18.15,192.168.18.57,6,78:c1:ae:5a:ef:b1,54:e1:ad:70:ca:d2,,,,0xd98a,20,503,0,0,0.000824000,0.161286000,,0x0018,14392,20,463,9020,51621,,,,,,,,,255
192.168.18.15,192.168.18.57,6,78:c1:ae:5a:ef:b1,54:e1:ad:70:ca:d2,,,,0xd98a,20,503,0,0,0.000000000,0.161286000,,0x0018,14392,20,463,9020,51621,,,,,,,,,255
192.168.18.57,192.168.18.15,6,54:e1:ad:70:ca:d2,78:c1:ae:5a:ef:b1,,,,0xe891,20,40,1,0,0.000025000,0.161311000,,0x0010,65535,20,0,51621,9020,,,,,,,,,128
192.168.18.57,192.168.18.15,6,54:e1:ad:70:ca:d2,78:c1:ae:5a:ef:b1,,,,0xe891,20,40,1,0,0.000000000,0.161311000,,0x0010,65535,20,0,51621,9020,,,,,,,,,128
192.168.18.57,192.168.18.15,6,54:e1:ad:70:ca:d2,78:c1:ae:5a:ef:b1,,,,0xe892,20,40,1,0,0.048662000,0.209973000,,0x0010,65072,20,0,51621,9020,,,,,,,,,128
192.168.18.57,192.168.18.15,6,54:e1:ad:70:ca:d2,78:c1:ae:5a:ef:b1,,,,0xe892,20,40,1,0,0.000000000,0.209973000,,0x0010,65072,20,0,51621,9020,,,,,,,,,128
192.168.18.15,192.168.18.57,6,78:c1:ae:5a:ef:b1,54:e1:ad:70:ca:d2,,,,0xd98b,20,333,0,0,0.000152000,0.210125000,,0x0018,14392,20,293,9020,51621,,,,,,,,,255
192.168.18.15,192.168.18.57,6,78:c1:ae:5a:ef:b1,54:e1:ad:70:ca:d2,,,,0xd98b,20,333,0,0,0.000000000,0.210125000,,0x0018,14392,20,293,9020,51621,,,,,,,,,255
192.168.18.57,192.168.18.15,6,54:e1:ad:70:ca:d2,78:c1:ae:5a:ef:b1,,,,0xe893,20,40,1,0,0.030419000,0.240544000,,0x0010,65535,20,0,51621,9020,,,,,,,,,128
192.168.18.57,192.168.18.15,6,54:e1:ad:70:ca:d2,78:c1:ae:5a:ef:b1,,,,0xe893,20,40,1,0,0.000000000,0.240544000,,0x0010,65535,20,0,51621,9020,,,,,,,,,128
192.168.18.57,192.168.18.15,6,54:e1:ad:70:ca:d2,78:c1:ae:5a:ef:b1,,,,0xe894,20,40,1,0,0.000000000,0.240544000,,0x0010,65535,20,0,51621,9020,,,,,,,,,128
192.168.18.57,192.168.18.15,6,54:e1:ad:70:ca:d2,78:c1:ae:5a:ef:b1,,,,0xe894,20,40,1,0,0.000000000,0.240544000,,0x0010,65535,20,0,51621,9020,,,,,,,,,128
192.168.18.15,192.168.18.57,6,78:c1:ae:5a:ef:b1,54:e1:ad:70:ca:d2,,,,0xd98c,20,1192,0,0,0.008403000,0.248947000,,0x0018,14392,20,1152,9020,51621,,,,,,,,,255
192.168.18.15,192.168.18.57,6,78:c1:ae:5a:ef:b1,54:e1:ad:70:ca:d2,,,,0xd98c,20,1192,0,0,0.000000000,0.248947000,,0x0018,14392,20,1152,9020,51621,,,,,,,,,255
192.168.18.15,192.168.18.57,6,78:c1:ae:5a:ef:b1,54:e1:ad:70:ca:d2,,,,0xd98d,20,1192,0,0,0.000000000,0.248947000,,0x0018,14392,20,1152,9020,51621,,,,,,,,,255
192.168.18.15,192.168.18.57,6,78:c1:ae:5a:ef:b1,54:e1:ad:70:ca:d2,,,,0xd98d,20,1192,0,0,0.000000000,0.248947000,,0x0018,14392,20,1152,9020,51621,,,,,,,,,255
192.168.18.15,192.168.18.57,6,78:c1:ae:5a:ef:b1,54:e1:ad:70:ca:d2,,,,0xd98e,20,1192,0,0,0.000000000,0.248947000,,0x0018,14392,20,1152,9020,51621,,,,,,,,,255
192.168.18.15,192.168.18.57,6,78:c1:ae:5a:ef:b1,54:e1:ad:70:ca:d2,,,,0xd98e,20,1192,0,0,0.000000000,0.248947000,,0x0018,14392,20,1152,9020,51621,,,,,,,,,255
192.168.18.15,192.168.18.57,6,78:c1:ae:5a:ef:b1,54:e1:ad:70:ca:d2,,,,0xd98f,20,58,0,0,0.000000000,0.248947000,,0x0018,14392,20,18,9020,51621,,,,,,,,,255
192.168.18.15,192.168.18.57,6,78:c1:ae:5a:ef:b1,54:e1:ad:70:ca:d2,,,,0xd98f,20,58,0,0,0.000000000,0.248947000,,0x0018,14392,20,18,9020,51621,,,,,,,,,255
192.168.18.57,192.168.18.15,6,54:e1:ad:70:ca:d2,78:c1:ae:5a:ef:b1,,,,0xe895,20,40,1,0,0.038394000,0.287341000,,0x0010,65517,20,0,51621,9020,,,,,,,,,128
192.168.18.57,192.168.18.15,6,54:e1:ad:70:ca:d2,78:c1:ae:5a:ef:b1,,,,0xe895,20,40,1,0,0.000000000,0.287341000,,0x0010,65517,20,0,51621,9020,,,,,,,,,128
192.168.18.15,192.168.18.57,6,78:c1:ae:5a:ef:b1,54:e1:ad:70:ca:d2,,,,0xd990,20,309,0,0,0.000185000,0.287526000,,0x0018,14392,20,269,9020,51621,,,,,,,,,255
192.168.18.15,192.168.18.57,6,78:c1:ae:5a:ef:b1,54:e1:ad:70:ca:d2,,,,0xd990,20,309,0,0,0.000000000,0.287526000,,0x0018,14392,20,269,9020,51621,,,,,,,,,255
192.168.18.15,192.168.18.57,6,78:c1:ae:5a:ef:b1,54:e1:ad:70:ca:d2,,,,0xd991,20,1192,0,0,0.032472000,0.319998000,,0x0018,14392,20,1152,9020,51621,,,,,,,,,255
192.168.18.15,192.168.18.57,6,78:c1:ae:5a:ef:b1,54:e1:ad:70:ca:d2,,,,0xd991,20,1192,0,0,0.000000000,0.319998000,,0x0018,14392,20,1152,9020,51621,,,,,,,,,255
192.168.18.15,192.168.18.57,6,78:c1:ae:5a:ef:b1,54:e1:ad:70:ca:d2,,,,0xd992,20,1192,0,0,0.000000000,0.319998000,,0x0018,14392,20,1152,9020,51621,,,,,,,,,255
192.168.18.15,192.168.18.57,6,78:c1:ae:5a:ef:b1,54:e1:ad:70:ca:d2,,,,0xd992,20,1192,0,0,0.000000000,0.319998000,,0x0018,14392,20,1152,9020,51621,,,,,,,,,255
192.168.18.57,192.168.18.15,6,54:e1:ad:70:ca:d2,78:c1:ae:5a:ef:b1,,,,0xe896,20,40,1,0,0.000680000,0.320678000,,0x0010,65535,20,0,51621,9020,,,,,,,,,128
192.168.18.57,192.168.18.15,6,54:e1:ad:70:ca:d2,78:c1:ae:5a:ef:b1,,,,0xe896,20,40,1,0,0.000000000,0.320678000,,0x0010,65535,20,0,51621,9020,,,,,,,,,128
192.168.18.15,192.168.18.57,6,78:c1:ae:5a:ef:b1,54:e1:ad:70:ca:d2,,,,0xd993,20,1192,0,0,0.009357000,0.330035000,,0x0018,14392,20,1152,9020,51621,,,,,,,,,255
192.168.18.15,192.168.18.57,6,78:c1:ae:5a:ef:b1,54:e1:ad:70:ca:d2,,,,0xd993,20,1192,0,0,0.000000000,0.330035000,,0x0018,14392,20,1152,9020,51621,,,,,,,,,255
192.168.18.57,192.168.18.15,6,54:e1:ad:70:ca:d2,78:c1:ae:5a:ef:b1,,,,0xe897,20,40,1,0,0.000361000,0.330396000,,0x0010,65535,20,0,51621,9020,,,,,,,,,128
